cocnumber,dem_soc_singparent_acs5yr,dem_soc_vet_acs5yr,dem_soc_ed_bach_acs5yr,ratio_white_population_to_total_population,ratio_black_population_to_total_population,ratio_asian_population_to_total_population,ratio_other_population_to_total_population ,ratio_hispanic_population_to_total_population,env_wea_avgtemp_summer_noaa,env_wea_precip_annual_noaa,env_wea_precip_noaa,d_env_wea_avgtemp_noaa,giniHouseholds,totalUnemployed,medianIncome,povertyRate,median_rent,rental_vacancy_rate,utility_costs,econ_sn_cashasst_acs5yr_2017,econ_sn_eitc_irs_share,hou_mkt_homeage1940_acs5yr_2017,hou_pol_hudunit_psh_hud_share,totHLess,hou_mkt_burden_sev_rent_acs_diff
AK-500,0.225762933,0.158846781,0.33706899,0.611693541,0.054470062,0.085369003,0.06641363,0.083717206,57.92499971,17.83500004,0.916249998,-9.499999046,0.41665,8927,74.797125,8.327317178,1055.5,0.04462713,89,5.534967422,12.86962278,0.366994917,3.528235197,1148.375,2.115926266
AK-501,0.20051764,0.14977482,0.23983638,0.641599193,0.018912155,0.036708671,0.058061413,0.049898931,57.92499971,17.83500004,0.916249998,-9.499999046,0.403227641,17158.75,63.84922788,11.48736322,889.3579102,0.066531777,142.2830658,7.072760105,14.251441,2.236410379,1.925379351,773.5,0.221452117
AL-500,0.321756184,0.103015665,0.331716865,0.605378231,0.32691456,0.015225314,0.01034853,0.039401981,79.54065704,56.1994853,4.958744943,3.303115845,0.475086874,32991.25,50.54139882,15.30353153,612.1569214,0.087481022,203.5455322,1.674812436,22.60783877,7.191578865,4.726576567,1525.125,-1.633757353
AL-501,0.338382408,0.128488187,0.243895106,0.663803344,0.267921269,0.015708186,0.013182659,0.03123006,81.49608803,64.09702587,5.316037953,2.661190033,0.463744603,23467.5,44.4273318,17.38365292,609.6527405,0.176015683,188.7886353,1.724119663,27.05597278,3.681716442,5.171221852,641.625,-0.234925747
AL-502,0.280307651,0.100979466,0.173856705,0.837754071,0.092185294,0.004443428,0.016059719,0.038655244,77.97234917,56.23597765,5.123459071,4.101737976,0.449443082,10712,38.64530959,18.24428034,367.8516541,0.069421251,186.2887726,1.429967284,24.77750696,5.150007248,4.551439047,221.875,-3.670222998
AL-503,0.264599159,0.135060485,0.336778492,0.703798594,0.196842618,0.019031921,0.019536377,0.053229326,78.31449986,58.44745255,5.712646693,4.543487549,0.455751722,19029.25,53.67582728,13.48783088,528.8772126,0.082493879,160.6542664,1.654264331,19.43746158,3.120739698,3.019461304,555.625,1.209147215
AL-504,0.38041316,0.13177884,0.280311987,0.496018746,0.440615011,0.016808907,0.012149428,0.031052771,80.89996243,53.36961365,5.182425916,2.064022064,0.461082511,14010.75,45.48251888,18.43400741,577.3250733,0.073103994,210.753151,1.97043097,28.42749269,5.378108978,3.912554055,444.25,1.239466667
AL-505,0.303820565,0.118667006,0.155549496,0.78501988,0.132468509,0.006025945,0.014794366,0.055535043,78.41470337,55.58177423,5.199535251,2.902732849,0.449476644,11843.5,38.24802669,19.66634607,400.3974152,0.077807762,191.2681427,1.488185167,27.54076413,7.556025028,3.789868176,341.5,-1.762142777
AL-506,0.343467444,0.096452661,0.292610541,0.636624801,0.305314006,0.013707478,0.009869309,0.031717252,80.27499866,55.52750063,5.236250013,3.63999939,0.4712,6886.75,44.590375,17.79321647,585,0.10039136,181.5,4.494605064,24.50052643,3.091341257,5.382169306,219.375,-5.902981758
AL-507,0.33899489,0.115140203,0.17002663,0.690467632,0.245409093,0.007990177,0.012689295,0.036999908,79.69914627,56.4110775,5.298730016,1.592372894,0.466875014,56235.625,37.34253846,21.33868909,398.8445893,0.064522406,196.8176498,1.661497355,29.06621279,5.612762928,3.934540302,792.75,-1.33755064
AR-500,0.341042608,0.125307016,0.297868401,0.653696327,0.258300532,0.016977946,0.015943386,0.050820137,80.87268734,56.39074183,3.020855367,2.71496582,0.4564827,16452.75,48.2111432,15.05438399,579.8457641,0.109972857,181.2787781,2.065459728,22.29252161,3.963645935,4.45257771,1091.75,-2.271708965
AR-501,0.199102037,0.105093926,0.294874102,0.754095145,0.021580116,0.026172162,0.020254036,0.1542326,77.61327553,46.73140097,1.816890948,2.133468628,0.460167293,12510.625,48.42484971,14.92123067,568.9722596,0.07817883,158.754242,1.418993115,21.05058806,4.006642342,1.630749151,429.875,-2.596260548
AR-503,0.297784984,0.115036115,0.184616551,0.766821679,0.130282794,0.012326136,0.017362546,0.06450986,80.26856041,53.61422634,2.987888962,2.871562958,0.455559934,34964.5,39.04313934,19.64694023,453.2653961,0.086749773,173.9052887,1.929117203,27.54072734,5.428497314,4.172076076,1207.142857,0.13653934
AR-504,0.284687817,0.121394731,0.144845016,0.842019579,0.103368365,0.004545734,0.014083075,0.029873115,79.12627029,53.69782305,3.014772147,2.793827057,0.455315707,12045.625,35.51613603,20.72271609,381.9430084,0.088823714,185.1253204,1.557532549,28.03774861,4.626101971,4.728488803,487.8333333,-2.571585655
AR-505,0.377670124,0.103777688,0.165991999,0.583550739,0.363314358,0.005508223,0.011265673,0.032714768,81.07494354,53.63459969,3.733875692,3.992961884,0.464118,11862.375,36.78520714,21.70324612,385.2918243,0.078691528,213.5052567,5.639669895,30.31493977,5.74810648,4.880686522,74,0.035387278
AR-512,0.221007131,0.153980091,0.159840964,0.949597524,0.003744135,0.004451172,0.014836835,0.020123816,77.07046509,49.00281143,2.405772991,2.386657715,0.444486761,3073.25,36.02815695,17.29532778,421.3132782,0.089294143,155.1779175,3.082505703,23.46402332,6.240184784,2.797117889,62,-3.085255623
AZ-500,0.268000647,0.142946541,0.180826575,0.562767564,0.020786337,0.011678925,0.015990604,0.276433908,81.14626312,11.13932514,1.336120103,3.324871063,0.437109473,76474.25,42.80436689,19.42261314,657.8464661,0.087724604,167.6661988,2.564350605,26.26244436,2.575451851,0.946155459,2351.25,-1.334159136
AZ-501,0.285503358,0.137363099,0.295136884,0.540421351,0.032702157,0.026902613,0.017603176,0.356154406,85.05708313,10.71874988,1.149999989,2.340000153,0.4662,33679.875,45.116375,18.59125853,676,0.087116801,124,2.29975462,21.53760556,2.452376366,2.051603526,2281.75,0.358220935
AZ-502,0.249859519,0.105205107,0.306133404,0.57479642,0.048695595,0.036264796,0.018872007,0.303103855,89.52541637,7.50124985,1.182500024,1.930000305,0.4609,137300.375,53.336125,16.33392227,811,0.094894234,150.5,1.940116286,19.01439149,0.973094702,1.448032573,6007.5,-1.328317881
CA-500,0.162274271,0.052341927,0.49392353,0.342391228,0.024133687,0.335678821,0.028545161,0.26343022,69.09249973,21.15999973,4.186250012,-0.36000061,0.45935,68334.5,93.456125,9.545204878,1554,0.02998675,82,2.176261902,10.48109899,4.930779934,3.706450194,7109.75,0.509290397
CA-501,0.230218217,0.045166474,0.574644983,0.417038588,0.05467302,0.338546566,0.03135084,0.152093524,61.84458303,22.89375007,3.911250042,0.869998932,0.5149,30885.25,79.46225,12.45033967,1452.5,0.037346287,57.5,2.475917816,10.71301964,48.33085632,6.444687128,6429,-0.815702975
CA-502,0.221639283,0.058675108,0.444459632,0.335356567,0.11533504,0.275541987,0.038073958,0.224748987,69.19083309,16.7125001,3.057500026,0.740001678,0.4643,61508,74.094625,12.0563345,1248.5,0.038831313,81.5,3.578637123,13.24001435,19.83312988,5.726620138,4390.75,-1.131859422
CA-503,0.261984155,0.098059699,0.291124076,0.475561713,0.09814246,0.146883999,0.042487929,0.221132562,75.45833397,17.43999994,3.297500058,1.270000458,0.44715,62992.25,54.657,17.22617376,911,0.059940426,123,5.528743744,19.96884292,4.83823061,3.497309983,2716.625,1.046487689
CA-504,0.206735089,0.091785889,0.313807234,0.654682806,0.014947257,0.038867036,0.026193848,0.255070025,65.39499998,36.95500028,7.413749896,0,0.45115,18974.5,63.657875,11.15841401,1197,0.042136386,104.5,2.301592827,11.69028418,9.150093079,3.057114363,3719.125,1.143875718
CA-505,0.199550904,0.077795286,0.400241449,0.468198444,0.088287309,0.152389983,0.036762334,0.246975041,70.55208492,17.42249984,3.536250021,-0.049999237,0.4613,42287.375,78.80175,10.14757442,1301.5,0.044337918,106,2.863188267,11.66123431,4.416880131,3.762738287,2117.125,-1.637348533
CA-506,0.205486119,0.077651583,0.213367946,0.325480908,0.02511573,0.053743494,0.021058199,0.567006436,69.16923332,17.64545107,4.080097845,0.516384125,0.4505824,25892.125,58.06328614,15.41277957,1122.058716,0.037767025,100.3610306,2.385357857,18.46230125,8.037931442,3.833817244,2880.125,0.988304615
CA-507,0.175327495,0.077814117,0.560848504,0.729650807,0.026316275,0.057389019,0.028300283,0.154445556,61.34249973,31.82000017,6.122499946,0.310001373,0.51305,7670.125,91.052125,8.137198985,1580.5,0.028278681,87,1.155172348,7.249080045,12.6965313,3.25828141,957.625,0.08212626
CA-508,0.212674007,0.071098022,0.382952124,0.589517201,0.00952642,0.042073078,0.026736839,0.326954987,64.68666649,29.01374966,6.028749982,0.020000458,0.47045,14795.25,64.799875,14.02422249,1309,0.031338033,94.5,2.472070694,14.51645769,12.1039381,5.521767259,2626,4.13632679
CA-509,0.271185279,0.111775886,0.205239266,0.674065275,0.006991183,0.017405596,0.026715233,0.233842829,67.14500046,47.50625038,8.476250038,-0.520000458,0.46565,3577.875,42.1845,19.43775391,821,0.030563451,136.5,3.567092419,20.88803291,10.50743294,4.06737268,1290.25,3.988936424
CA-510,0.230660163,0.078189585,0.167957395,0.452649905,0.025634416,0.05078978,0.025000608,0.433922996,75.36625004,12.82250011,2.543750039,2.030002594,0.445,31936,48.917125,19.08220792,824.5,0.05154608,159,5.668475151,24.1390092,5.729380131,3.382271647,1445.5,-2.405705929
CA-511,0.233115993,0.080477711,0.180264518,0.349036317,0.069998441,0.142259307,0.030936072,0.39810374,74.78416538,12.9287498,2.471250053,2.180000305,0.4462,39566.25,52.234375,17.70355022,861.5,0.051870093,163.5,5.516740799,23.18548993,7.187321186,3.317514062,1909.125,-0.497040153
